forecast_dt,city,wind_speed
2025-10-30T15:00:00Z,Toronto,4.96
2025-10-30T18:00:00Z,Toronto,6
2025-10-30T21:00:00Z,Toronto,5.75
2025-10-31T00:00:00Z,Toronto,5.34
2025-10-31T03:00:00Z,Toronto,4.81
2025-10-31T06:00:00Z,Toronto,5.51
2025-10-31T09:00:00Z,Toronto,5.28
2025-10-31T12:00:00Z,Toronto,5.59
2025-10-31T15:00:00Z,Toronto,6.46
2025-10-31T18:00:00Z,Toronto,6.65
2025-10-31T21:00:00Z,Toronto,6.59
2025-11-01T00:00:00Z,Toronto,5.59
2025-11-01T03:00:00Z,Toronto,4.27
2025-11-01T06:00:00Z,Toronto,3.71
2025-11-01T09:00:00Z,Toronto,2.85
2025-11-01T12:00:00Z,Toronto,2.2
2025-11-01T15:00:00Z,Toronto,2.87
2025-11-01T18:00:00Z,Toronto,2.98
2025-11-01T21:00:00Z,Toronto,3.26
2025-11-02T00:00:00Z,Toronto,2.74
2025-11-02T03:00:00Z,Toronto,2.18
2025-11-02T06:00:00Z,Toronto,1.76
2025-11-02T09:00:00Z,Toronto,1.7
2025-11-02T12:00:00Z,Toronto,1.14
2025-11-02T15:00:00Z,Toronto,0.63
2025-11-02T18:00:00Z,Toronto,1.04
2025-11-02T21:00:00Z,Toronto,2.8
2025-11-03T00:00:00Z,Toronto,1.33
2025-11-03T03:00:00Z,Toronto,1.66
2025-11-03T06:00:00Z,Toronto,1.73
2025-11-03T09:00:00Z,Toronto,1.52
